"approved_symbol"	"previous_symbols"	"alias_symbols"	"LNCipedia"	"all"
"FAM217B"	"C20orf177"	"dJ551D2.5"	""	"FAM217B,C20orf177,dJ551D2.5,"
"FAM222B"	"C17orf63"	"FLJ10700"	""	"FAM222B,C17orf63,FLJ10700,"
"FARSA"	"FARSL, FARSLA"	"CML33"	""	"FARSA,FARSL, FARSLA,CML33,"
"FASLG"	"APT1LG1, TNFSF6"	"FasL, CD178"	""	"FASLG,APT1LG1, TNFSF6,FasL, CD178,"
"FASN"	""	"FAS, SDR27X1"	""	"FASN,,FAS, SDR27X1,"
"FASTKD3"	""	"MGC5297, FLJ23274"	""	"FASTKD3,,MGC5297, FLJ23274,"
"FAU"	""	"RPS30, FLJ22986, Fub1, Fubi, MNSFbeta, asr1, S30"	""	"FAU,,RPS30, FLJ22986, Fub1, Fubi, MNSFbeta, asr1, S30,"
"FBF1"	""	"FLJ00103, FBF-1, KIAA1863, ALB"	""	"FBF1,,FLJ00103, FBF-1, KIAA1863, ALB,"
"FBL"	""	"RNU3IP1, FLRN, FIB, Nop1"	""	"FBL,,RNU3IP1, FLRN, FIB, Nop1,"
"FBLN2"	""	""	""	"FBLN2,,,"
"FBRS"	"FBS1"	"FBS, FLJ11618"	""	"FBRS,FBS1,FBS, FLJ11618,"
"FBXL6"	""	"FBL6"	""	"FBXL6,,FBL6,"
"FBXL7"	""	"KIAA0840, FBL7, FBL6"	""	"FBXL7,,KIAA0840, FBL7, FBL6,"
"FBXL12"	""	"FLJ20188, Fbl12"	""	"FBXL12,,FLJ20188, Fbl12,"
"FBXL19"	""	"DKFZp434K0410, Fbl19, JHDM1C, CXXC11"	""	"FBXL19,,DKFZp434K0410, Fbl19, JHDM1C, CXXC11,"
"FBXL19-AS1"	"NCRNA00095"	"MGC125469, MGC125470, MGC125472"	"FBXL19-AS1"	"FBXL19-AS1,NCRNA00095,MGC125469, MGC125470, MGC125472,FBXL19-AS1"
"FBXL20"	""	"MGC15482, Fbl2, Fbl20"	""	"FBXL20,,MGC15482, Fbl2, Fbl20,"
"FBXO4"	""	"FBX4"	""	"FBXO4,,FBX4,"
"FBXO16"	""	"FBX16"	""	"FBXO16,,FBX16,"
"FBXO17"	"FBXO26"	"FBG4, FLJ25205, MGC9379, FLJ11798, Fbx17"	""	"FBXO17,FBXO26,FBG4, FLJ25205, MGC9379, FLJ11798, Fbx17,"
"FBXO25"	""	"FBX25"	""	"FBXO25,,FBX25,"
"FBXO27"	""	"Fbg5, Fbx27"	""	"FBXO27,,Fbg5, Fbx27,"
"FBXO28"	""	"FLJ10766, KIAA0483, Fbx28, CENP-30"	""	"FBXO28,,FLJ10766, KIAA0483, Fbx28, CENP-30,"
"FBXO32"	""	"MAFbx, ATROGIN1, Fbx32"	""	"FBXO32,,MAFbx, ATROGIN1, Fbx32,"
"FBXO43"	""	"Fbx43"	""	"FBXO43,,Fbx43,"
"FBXO45"	""	"Fbx45"	""	"FBXO45,,Fbx45,"
"FBXO46"	"FBXO34L"	"20D7-FC4, Fbx46"	""	"FBXO46,FBXO34L,20D7-FC4, Fbx46,"
"FBXW5"	""	"DKFZP434B205, MGC20962, Fbw5"	""	"FBXW5,,DKFZP434B205, MGC20962, Fbw5,"
"FBXW9"	""	"MGC10870, Fbw9, MEC-15"	""	"FBXW9,,MGC10870, Fbw9, MEC-15,"
"FCAMR"	""	"FKSG87, FCA/MR, CD351, Fcalpha/muR"	""	"FCAMR,,FKSG87, FCA/MR, CD351, Fcalpha/muR,"
"FCER1A"	"FCE1A"	"FcepsilonRIalpha, FCERIA"	""	"FCER1A,FCE1A,FcepsilonRIalpha, FCERIA,"
"FCER1G"	""	"FcepsilonRIgamma"	""	"FCER1G,,FcepsilonRIgamma,"
"FCGBP"	""	"FC(GAMMA)BP, FcgammaBP"	""	"FCGBP,,FC(GAMMA)BP, FcgammaBP,"
"FCGR1A"	""	"CD64, CD64A, FcgammaRI, FcgammaRIa, FCG1, FCGR1"	""	"FCGR1A,,CD64, CD64A, FcgammaRI, FcgammaRIa, FCG1, FCGR1,"
"FCGR1BP"	"FCGR1B"	"CD64b"	""	"FCGR1BP,FCGR1B,CD64b,"
"FCGR1CP"	"FCGR1C"	"CD64c"	""	"FCGR1CP,FCGR1C,CD64c,"
"FCGR2A"	"FCG2, FCGR2A1, FCGR2"	"CD32, CD32A, IGFR2, CDw32, Fc-gamma-RIIa, FcgammaRIIa"	""	"FCGR2A,FCG2, FCGR2A1, FCGR2,CD32, CD32A, IGFR2, CDw32, Fc-gamma-RIIa, FcgammaRIIa,"
"FCGR2B"	"FCG2, FCGR2"	"CD32, CD32B, FcgammaRIIb, FcGRIIB"	""	"FCGR2B,FCG2, FCGR2,CD32, CD32B, FcgammaRIIb, FcGRIIB,"
"FCGR2C"	""	"hFcRII-C, CD32C, Fc-gamma-RIIc, FcgammaRIIc"	""	"FCGR2C,,hFcRII-C, CD32C, Fc-gamma-RIIc, FcgammaRIIc,"
"FCGR3A"	"FCGR3, FCG3"	"CD16, CD16a, FcgammaRIIIa, FcGRIIIA"	""	"FCGR3A,FCGR3, FCG3,CD16, CD16a, FcgammaRIIIa, FcGRIIIA,"
"FCGR3B"	"FCGR3, FCG3"	"CD16, CD16b, FcgammaRIIIb, FcRIIIb"	""	"FCGR3B,FCGR3, FCG3,CD16, CD16b, FcgammaRIIIb, FcRIIIb,"
"FCHO1"	""	"KIAA0290"	""	"FCHO1,,KIAA0290,"
"FCMR"	"FAIM3"	"TOSO, FcmuR"	""	"FCMR,FAIM3,TOSO, FcmuR,"
