"approved_symbol"	"previous_symbols"	"alias_symbols"	"LNCipedia"	"all"
"MASP1"	"CRARF, PRSS5"	"MASP, Map44, MASP-3, MAP-1"	""	"MASP1,CRARF, PRSS5,MASP, Map44, MASP-3, MAP-1,"
"MAST1"	""	"SAST, KIAA0973"	""	"MAST1,,SAST, KIAA0973,"
"MAST3"	""	"KIAA0561"	""	"MAST3,,KIAA0561,"
"MATN1"	"CRTM, CMP"	""	""	"MATN1,CRTM, CMP,,"
"MATN1-AS1"	""	""	"MATN1-AS1"	"MATN1-AS1,,,MATN1-AS1"
"MATN2"	""	""	""	"MATN2,,,"
"MATN3"	""	"EDM5, HOA"	""	"MATN3,,EDM5, HOA,"
"MATN4"	""	""	""	"MATN4,,,"
"MAU2"	"KIAA0892"	"MGC75361, mau-2, MAU2L, SCC4"	""	"MAU2,KIAA0892,MGC75361, mau-2, MAU2L, SCC4,"
"MB21D2"	"C3orf59"	""	""	"MB21D2,C3orf59,,"
"MBD1"	""	"PCM1, CXXC3"	""	"MBD1,,PCM1, CXXC3,"
"MBD3L1"	"MBD3L"	""	""	"MBD3L1,MBD3L,,"
"MBD4"	""	"MED1"	""	"MBD4,,MED1,"
"MBL1P"	"MBL1P1"	"COLEC3P"	""	"MBL1P,MBL1P1,COLEC3P,"
"MBLAC1"	""	"MGC49416"	""	"MBLAC1,,MGC49416,"
"MBNL1"	"MBNL"	"KIAA0428, EXP42, EXP40, EXP35, EXP"	""	"MBNL1,MBNL,KIAA0428, EXP42, EXP40, EXP35, EXP,"
"MBOAT2"	"OACT2"	"FLJ14415, FLJ90298"	""	"MBOAT2,OACT2,FLJ14415, FLJ90298,"
"MBOAT4"	"OACT4"	"FKSG89, GOAT"	""	"MBOAT4,OACT4,FKSG89, GOAT,"
"MC3R"	""	"MC3"	""	"MC3R,,MC3,"
"MCCC1"	""	"MCCA, MCCCα"	""	"MCCC1,,MCCA, MCCCα,"
"MCF2L2"	""	"KIAA0861, ARHGEF22"	""	"MCF2L2,,KIAA0861, ARHGEF22,"
"MCL1"	""	"BCL2L3, Mcl-1"	""	"MCL1,,BCL2L3, Mcl-1,"
"MCM2"	"CCNL1, CDCL1"	"D3S3194, KIAA0030, BM28, cdc19, DFNA70"	""	"MCM2,CCNL1, CDCL1,D3S3194, KIAA0030, BM28, cdc19, DFNA70,"
"MCM4"	"CDC21"	"CDC54, hCdc21, P1-Cdc21, MGC33310"	""	"MCM4,CDC21,CDC54, hCdc21, P1-Cdc21, MGC33310,"
"MCM7"	"MCM2"	"CDC47, PPP1R104"	""	"MCM7,MCM2,CDC47, PPP1R104,"
"MCMDC2"	"C8orf45"	"FLJ25692"	""	"MCMDC2,C8orf45,FLJ25692,"
"MCPH1"	""	"FLJ12847, BRIT1"	""	"MCPH1,,FLJ12847, BRIT1,"
"MCPH2"	"WDR62, C19orf14"	"DKFZP434J046, FLJ33298"	""	"MCPH2,WDR62, C19orf14,DKFZP434J046, FLJ33298,"
"MCRIP1"	"FAM195B"	"GRAN2, MCRIP"	""	"MCRIP1,FAM195B,GRAN2, MCRIP,"
"MCTS2"	"MCTS2P"	"psiMCT-1"	""	"MCTS2,MCTS2P,psiMCT-1,"
"MDM4"	""	"MDMX, HDMX"	""	"MDM4,,MDMX, HDMX,"
"MECOM"	"MDS1, EVI1"	"MDS1-EVI1, PRDM3, KMT8E"	""	"MECOM,MDS1, EVI1,MDS1-EVI1, PRDM3, KMT8E,"
"MED1"	"TRIP2, PPARGBP, PPARBP"	"PBP, TRAP220, RB18A, DRIP230, CRSP200, CRSP1"	""	"MED1,TRIP2, PPARGBP, PPARBP,PBP, TRAP220, RB18A, DRIP230, CRSP200, CRSP1,"
"MED4"	"VDRIP"	"HSPC126, DRIP36, TRAP36"	""	"MED4,VDRIP,HSPC126, DRIP36, TRAP36,"
"MED8"	""	"MGC17544, MGC19641, ARC32"	""	"MED8,,MGC17544, MGC19641, ARC32,"
"MED10"	""	"TRG20, L6, MGC5309, NUT2"	""	"MED10,,TRG20, L6, MGC5309, NUT2,"
"MED12L"	""	"KIAA1635, TNRC11L, TRALPUSH, TRALP"	""	"MED12L,,KIAA1635, TNRC11L, TRALPUSH, TRALP,"
"MED22"	"SURF5"	"Med24, SRB6"	""	"MED22,SURF5,Med24, SRB6,"
"MED24"	"THRAP4, CRSP4"	"TRAP100, KIAA0130, DRIP100, CRSP100, MED5"	""	"MED24,THRAP4, CRSP4,TRAP100, KIAA0130, DRIP100, CRSP100, MED5,"
"MED26"	"CRSP7"	"CRSP70"	""	"MED26,CRSP7,CRSP70,"
"MED29"	"IXL"	"DKFZp434H247, MED2"	""	"MED29,IXL,DKFZp434H247, MED2,"
"MED30"	"THRAP6"	"TRAP25"	""	"MED30,THRAP6,TRAP25,"
"MEF2B"	""	"RSRFR2"	""	"MEF2B,,RSRFR2,"
"MEF2D"	""	""	""	"MEF2D,,,"
"MEIOSIN"	"BHMG1"	"HMGDC"	""	"MEIOSIN,BHMG1,HMGDC,"
"MELTF"	"MFI2"	"CD228, FLJ38863, MAP97, MGC4856, MTF1, MTf"	""	"MELTF,MFI2,CD228, FLJ38863, MAP97, MGC4856, MTF1, MTf,"
"MELTF-AS1"	"MFI2-AS1"	"AC068302.3"	""	"MELTF-AS1,MFI2-AS1,AC068302.3,"
"METTL4"	""	"FLJ23017, HsT661"	""	"METTL4,,FLJ23017, HsT661,"
"METTL18"	"C1orf156"	"MGC9084, AsTP2, HPM1"	""	"METTL18,C1orf156,MGC9084, AsTP2, HPM1,"
"MEX3A"	"RKHD4"	"RNF162"	""	"MEX3A,RKHD4,RNF162,"
"MFHAS1"	""	"MASL1, LRRC65"	""	"MFHAS1,,MASL1, LRRC65,"
"MFN1"	""	"FLJ20693"	""	"MFN1,,FLJ20693,"
"MFSD1"	""	"FLJ14153, UG0581B09, Minerva"	""	"MFSD1,,FLJ14153, UG0581B09, Minerva,"
"MFSD2A"	"MFSD2"	"FLJ14490, SLC59A1"	""	"MFSD2A,MFSD2,FLJ14490, SLC59A1,"
"MFSD3"	""	""	""	"MFSD3,,,"
"MFSD4A"	"MFSD4"	"DKFZp761N1114, FLJ34577, UNQ3064, FLJ25004, SLC60A1"	""	"MFSD4A,MFSD4,DKFZp761N1114, FLJ34577, UNQ3064, FLJ25004, SLC60A1,"
"MFSD4A-AS1"	""	""	""	"MFSD4A-AS1,,,"
"MFSD5"	""	"MGC11308, HsMOT2, SLC61A1"	""	"MFSD5,,MGC11308, HsMOT2, SLC61A1,"
"MGAT4EP"	""	""	""	"MGAT4EP,,,"
"MGAT4FP"	""	""	""	"MGAT4FP,,,"
"MGST3"	""	"GST-III"	""	"MGST3,,GST-III,"
"MIA"	""	"CD-RAP"	""	"MIA,,CD-RAP,"
"MIA-RAB4B"	""	""	""	"MIA-RAB4B,,,"
"MIA3"	""	"UNQ6077, FLJ39207, KIAA0268, TANGO, TANGO1"	""	"MIA3,,UNQ6077, FLJ39207, KIAA0268, TANGO, TANGO1,"
"MICU3"	"EFHA2"	"DKFZp313A0139"	""	"MICU3,EFHA2,DKFZp313A0139,"
"MIEN1"	"C17orf37"	"MGC14832, ORB3, XTP4, C35, Rdx12"	""	"MIEN1,C17orf37,MGC14832, ORB3, XTP4, C35, Rdx12,"
"MIF4GD"	"MIFD"	"AD023, MGC45027, SLIP1"	""	"MIF4GD,MIFD,AD023, MGC45027, SLIP1,"
"MIF4GD-DT"	""	""	""	"MIF4GD-DT,,,"
"MINDY1"	"FAM63A"	"FLJ11280, MINDY-1"	""	"MINDY1,FAM63A,FLJ11280, MINDY-1,"
"MINDY4B"	"C3orf76, FAM188B2"	""	""	"MINDY4B,C3orf76, FAM188B2,,"
"MIOX"	"ALDRL6"	""	""	"MIOX,ALDRL6,,"
"MIR1-1HG"	"C20orf166"	"dJ353C17.1, MIR133A2HG"	""	"MIR1-1HG,C20orf166,dJ353C17.1, MIR133A2HG,"
"MIR9-1HG"	"C1orf61"	"CROC4"	""	"MIR9-1HG,C1orf61,CROC4,"
"MIR23AHG"	""	"LOC284454"	""	"MIR23AHG,,LOC284454,"
"MIR29B2CHG"	"C1orf132"	"FLJ35650"	""	"MIR29B2CHG,C1orf132,FLJ35650,"
"MIR124-1HG"	"LINC00599"	"Rncr3, neuroLNC"	"LINC00599"	"MIR124-1HG,LINC00599,Rncr3, neuroLNC,LINC00599"
"MIR124-2HG"	"LINC00966"	""	"MIR124-2HG"	"MIR124-2HG,LINC00966,,MIR124-2HG"
"MIR181A1HG"	""	""	""	"MIR181A1HG,,,"
"MIR205HG"	""	"LINC00510"	"MIR205HG"	"MIR205HG,,LINC00510,MIR205HG"
"MIR570HG"	"LINC00969"	"ENST00000453324"	""	"MIR570HG,LINC00969,ENST00000453324,"
"MIR2052HG"	""	""	"MIR2052HG"	"MIR2052HG,,,MIR2052HG"
"MIR3667HG"	"C22orf34"	""	""	"MIR3667HG,C22orf34,,"
"MIR4458HG"	""	""	"MIR4458HG"	"MIR4458HG,,,MIR4458HG"
"MIRLET7BHG"	""	"linc-Ppara"	""	"MIRLET7BHG,,linc-Ppara,"
"MISP3"	""	""	""	"MISP3,,,"
"MIXL1"	""	"MILD1, MIXL"	""	"MIXL1,,MILD1, MIXL,"
"MKNK1"	""	"MNK1"	""	"MKNK1,,MNK1,"
"MKNK1-AS1"	""	""	"MKNK1-AS1"	"MKNK1-AS1,,,MKNK1-AS1"
"MKRN3"	"ZNF127, D15S9"	"RNF63, ZFP127, MGC88288"	""	"MKRN3,ZNF127, D15S9,RNF63, ZFP127, MGC88288,"
"MKRN7P"	"ZNF127L5, MKRNP3"	""	""	"MKRN7P,ZNF127L5, MKRNP3,,"
"MLC1"	""	"MLC, KIAA0027, LVM, VL"	""	"MLC1,,MLC, KIAA0027, LVM, VL,"
"MLF1"	""	""	""	"MLF1,,,"
"MLF2"	""	"NTN4"	""	"MLF2,,NTN4,"
"MLLT10P1"	"MLLT10L"	"bA348I14.3"	""	"MLLT10P1,MLLT10L,bA348I14.3,"
"MLLT11"	""	"AF1Q"	""	"MLLT11,,AF1Q,"
"MME"	""	"CALLA, CD10, NEP"	""	"MME,,CALLA, CD10, NEP,"
"MMP9"	"CLG4B"	""	""	"MMP9,CLG4B,,"
"MMP16"	"C8orf57"	"MT3-MMP, DKFZp761D112"	""	"MMP16,C8orf57,MT3-MMP, DKFZp761D112,"
"MMP20"	""	""	""	"MMP20,,,"
"MMPL1"	"MMP20, MMPL1"	""	""	"MMPL1,MMP20, MMPL1,,"
"MNDA"	""	"PYHIN3"	""	"MNDA,,PYHIN3,"
"MOCS3"	""	"UBA4, dJ914P20.3"	""	"MOCS3,,UBA4, dJ914P20.3,"
"MOS"	""	""	""	"MOS,,,"
"MOV10L1"	""	"DJ402G11.8, DKFZp434B0717, CHAMP"	""	"MOV10L1,,DJ402G11.8, DKFZp434B0717, CHAMP,"
"MPC2"	"BRP44"	"DKFZP564B167, SLC54A2"	""	"MPC2,BRP44,DKFZP564B167, SLC54A2,"
"MPHOSPH8"	""	"mpp8, HSMPP8"	""	"MPHOSPH8,,mpp8, HSMPP8,"
"MPL"	""	"CD110, TPOR, THPOR"	""	"MPL,,CD110, TPOR, THPOR,"
"MPV17"	""	"SYM1"	""	"MPV17,,SYM1,"
"MPV17L2"	""	"FKSG24, MGC12972"	""	"MPV17L2,,FKSG24, MGC12972,"
"MPZ"	"CMT1, CMT1B"	"HMSNIB, CMT2I, CMT2J, P0"	""	"MPZ,CMT1, CMT1B,HMSNIB, CMT2I, CMT2J, P0,"
"MPZL1"	""	"PZR, FLJ21047"	""	"MPZL1,,PZR, FLJ21047,"
"MR1"	"HLALS"	""	""	"MR1,HLALS,,"
"MRAS"	""	"M-RAs, R-RAS3, RRAS3"	""	"MRAS,,M-RAs, R-RAS3, RRAS3,"
"MRGBP"	"C20orf20"	"FLJ10914, MRG15BP, Eaf7"	""	"MRGBP,C20orf20,FLJ10914, MRG15BP, Eaf7,"
"MRI1"	""	"MGC3207, Ypr118w, mtnA, MRDI"	""	"MRI1,,MGC3207, Ypr118w, mtnA, MRDI,"
"MROH1"	"HEATR7A"	"KIAA1833"	""	"MROH1,HEATR7A,KIAA1833,"
"MROH2B"	"HEATR7B2"	"DKFZp781F0822, FLJ40243"	""	"MROH2B,HEATR7B2,DKFZp781F0822, FLJ40243,"
"MROH5"	""	"FLJ43860"	""	"MROH5,,FLJ43860,"
"MROH6"	"C8orf73"	""	""	"MROH6,C8orf73,,"
"MROH8"	"C20orf131, C20orf132"	"dJ621N11.4, dJ621N11.3"	""	"MROH8,C20orf131, C20orf132,dJ621N11.4, dJ621N11.3,"
"MROH9"	"C1orf129"	"FLJ23550, ARMC11"	""	"MROH9,C1orf129,FLJ23550, ARMC11,"
"MRPL4"	""	"CGI-28"	""	"MRPL4,,CGI-28,"
"MRPL9"	""	""	""	"MRPL9,,,"
"MRPL12"	"RPML12"	"MRPL7/L12, MRPL7"	""	"MRPL12,RPML12,MRPL7/L12, MRPL7,"
"MRPL13"	""	"L13, RPL13, L13mt, RPML13, L13A"	""	"MRPL13,,L13, RPL13, L13mt, RPML13, L13A,"
"MRPL15"	""	"RPML7, MRP-L7, HSPC145, L15mt, MRP-L15"	""	"MRPL15,,RPML7, MRP-L7, HSPC145, L15mt, MRP-L15,"
"MRPL24"	""	"MRP-L18"	""	"MRPL24,,MRP-L18,"
"MRPL33"	"C2orf1"	"RPL33L"	""	"MRPL33,C2orf1,RPL33L,"
"MRPL34"	""	"L34mt, MGC2633, MGC24974"	""	"MRPL34,,L34mt, MGC2633, MGC24974,"
"MRPL36"	""	"RPMJ, L36mt, PRPL36, MRP-L36"	""	"MRPL36,,RPMJ, L36mt, PRPL36, MRP-L36,"
"MRPL38"	""	"RPML3, MRP-L3, HSPC262, MGC4810"	""	"MRPL38,,RPML3, MRP-L3, HSPC262, MGC4810,"
"MRPL47"	""	"CGI-204, NCM1"	""	"MRPL47,,CGI-204, NCM1,"
"MRPL49"	"C11orf4"	"NOF, NOF1, L49mt"	""	"MRPL49,C11orf4,NOF, NOF1, L49mt,"
"MRPL51"	"MRP64"	"CDA09, HSPC241, bMRP64"	""	"MRPL51,MRP64,CDA09, HSPC241, bMRP64,"
"MRPL55"	""	""	""	"MRPL55,,,"
"MRPS7"	""	"MRP-S, RP-S7, RPMS7"	""	"MRPS7,,MRP-S, RP-S7, RPMS7,"
"MRPS12"	"RPMS12"	"RPS12, RPSM12"	""	"MRPS12,RPMS12,RPS12, RPSM12,"
"MRPS14"	""	"HSMRPS14"	""	"MRPS14,,HSMRPS14,"
"MRPS21"	""	""	""	"MRPS21,,,"
"MRPS22"	""	"MRP-S22, GK002, C3orf5, GIBT"	""	"MRPS22,,MRP-S22, GK002, C3orf5, GIBT,"
"MRPS28"	""	"MRP-S28, HSPC007, MRPS35"	""	"MRPS28,,MRP-S28, HSPC007, MRPS35,"
"MRPS35"	""	"MRPS28, MDS023"	""	"MRPS35,,MRPS28, MDS023,"
"MSC"	""	"ABF-1, bHLHa22"	""	"MSC,,ABF-1, bHLHa22,"
"MSC-AS1"	""	""	"MSC-AS1"	"MSC-AS1,,,MSC-AS1"
"MSL1"	""	"hMSL1, MSL-1, DKFZp686P24239"	""	"MSL1,,hMSL1, MSL-1, DKFZp686P24239,"
"MSR1"	""	"SCARA1, CD204, SR-AI, SR-AII, SR-AIII, SR-A"	""	"MSR1,,SCARA1, CD204, SR-AI, SR-AII, SR-AIII, SR-A,"
"MSRA"	""	""	""	"MSRA,,,"
"MSTO1"	""	"FLJ10504, LST005, MST, misato"	""	"MSTO1,,FLJ10504, LST005, MST, misato,"
"MSTO2P"	"MSTO2"	""	""	"MSTO2P,MSTO2,,"
"MT1HL1"	"MT1P2"	""	""	"MT1HL1,MT1P2,,"
"MTARC1"	"MOSC1, MARC1"	"FLJ22390"	""	"MTARC1,MOSC1, MARC1,FLJ22390,"
"MTARC2"	"MOSC2, MARC2"	"FLJ20605"	""	"MTARC2,MOSC2, MARC2,FLJ20605,"
"MTBP"	""	""	""	"MTBP,,,"
"MTDH"	""	"LYRIC, 3D3, AEG-1"	""	"MTDH,,LYRIC, 3D3, AEG-1,"
"MTERF3"	"MTERFD1"	"CGI-12, FLJ10939"	""	"MTERF3,MTERFD1,CGI-12, FLJ10939,"
"MTFR1"	""	"CHPPR, KIAA0009, FAM54A2"	""	"MTFR1,,CHPPR, KIAA0009, FAM54A2,"
"MTG2"	"GTPBP5"	"FLJ10741, dJ1005F21.2, ObgH1"	""	"MTG2,GTPBP5,FLJ10741, dJ1005F21.2, ObgH1,"
"MTMR7"	""	""	""	"MTMR7,,,"
"MTMR9"	"C8orf9, MTMR8"	"DKFZp434K171, LIP-STYX"	""	"MTMR9,C8orf9, MTMR8,DKFZp434K171, LIP-STYX,"
"MTMR9LP"	"MTMR9L"	""	""	"MTMR9LP,MTMR9L,,"
"MTMR11"	""	"CRA"	""	"MTMR11,,CRA,"
"MTMR12"	"PIP3AP"	"3-PAP, FLJ20476, KIAA1682, 3PAP"	""	"MTMR12,PIP3AP,3-PAP, FLJ20476, KIAA1682, 3PAP,"
"MTR"	""	"cblG"	""	"MTR,,cblG,"
"MTRNR2L3"	""	""	""	"MTRNR2L3,,,"
"MTRNR2L11"	""	""	""	"MTRNR2L11,,,"
"MTRNR2L12"	""	""	""	"MTRNR2L12,,,"
"MTRR"	""	"cblE"	""	"MTRR,,cblE,"
"MTSS1"	""	"KIAA0429, MIMA, MIMB, MIM"	""	"MTSS1,,KIAA0429, MIMA, MIMB, MIM,"
"MTUS1"	""	"MTSG1, KIAA1288, DKFZp586D1519, FLJ14295, ATIP1, MP44, ATBP, ICIS, ATIP3"	""	"MTUS1,,MTSG1, KIAA1288, DKFZp586D1519, FLJ14295, ATIP1, MP44, ATBP, ICIS, ATIP3,"
"MTX1"	"MTX"	"MTXN"	""	"MTX1,MTX,MTXN,"
"MUC1"	"PUM, MCKD1"	"CD227, PEM, ADMCKD, ADMCKD1, MCKD, MCD, KL-6, EMA, Ca15-3"	""	"MUC1,PUM, MCKD1,CD227, PEM, ADMCKD, ADMCKD1, MCKD, MCD, KL-6, EMA, Ca15-3,"
"MUC4"	""	""	""	"MUC4,,,"
"MUC16"	""	"CA125, FLJ14303, CA-125"	""	"MUC16,,CA125, FLJ14303, CA-125,"
"MUC20"	""	"FLJ14408, KIAA1359"	""	"MUC20,,FLJ14408, KIAA1359,"
"MUS81"	""	"FLJ44872, SLX3"	""	"MUS81,,FLJ44872, SLX3,"
"MVB12A"	"FAM125A"	"FLJ32495"	""	"MVB12A,FAM125A,FLJ32495,"
"MYADML2"	""	"LOC255275"	""	"MYADML2,,LOC255275,"
"MYBL1"	""	"AMYB, A-myb"	""	"MYBL1,,AMYB, A-myb,"
"MYBL2"	""	"BMYB, B-MYB"	""	"MYBL2,,BMYB, B-MYB,"
"MYBPH"	""	""	""	"MYBPH,,,"
"MYC"	""	"c-Myc, bHLHe39, MYCC"	""	"MYC,,c-Myc, bHLHe39, MYCC,"
"MYCBP"	""	"AMY-1"	""	"MYCBP,,AMY-1,"
"MYCBP2-AS1"	""	""	"MYCBP2-AS1"	"MYCBP2-AS1,,,MYCBP2-AS1"
"MYCL"	"MYCL1"	"LMYC, bHLHe38"	""	"MYCL,MYCL1,LMYC, bHLHe38,"
"MYCN"	"NMYC"	"bHLHe37, N-myc, MYCNOT"	""	"MYCN,NMYC,bHLHe37, N-myc, MYCNOT,"
"MYCNOS"	""	"NCYM, N-CYM, MYCN-AS1"	"MYCNOS"	"MYCNOS,,NCYM, N-CYM, MYCN-AS1,MYCNOS"
"MYG1"	"C12orf10"	"MYG, Gamm1"	""	"MYG1,C12orf10,MYG, Gamm1,"
"MYL1"	""	"MLC1, MLC1F, MLC3F, MLC-1, MLC1/3"	""	"MYL1,,MLC1, MLC1F, MLC3F, MLC-1, MLC1/3,"
"MYL6"	""	"ESMLC, MLC3NM, MLC1SM"	""	"MYL6,,ESMLC, MLC3NM, MLC1SM,"
"MYL6B"	""	"MLC1SA"	""	"MYL6B,,MLC1SA,"
"MYL12A"	""	"MLCB, MYL2B, MRLC3, MRCL3"	""	"MYL12A,,MLCB, MYL2B, MRLC3, MRCL3,"
"MYL12B"	""	"MRLC2"	""	"MYL12B,,MRLC2,"
"MYLK2"	""	"skMLCK, KMLC, MLCK2"	""	"MYLK2,,skMLCK, KMLC, MLCK2,"
"MYLPF"	""	"MRLC2, HUMMLC2B, MYL11"	""	"MYLPF,,MRLC2, HUMMLC2B, MYL11,"
"MYNN"	""	"SBBIZ1, ZBTB31, ZNF902"	""	"MYNN,,SBBIZ1, ZBTB31, ZNF902,"
"MYO7A"	"USH1B, DFNB2, DFNA11"	"NSRD2"	""	"MYO7A,USH1B, DFNB2, DFNA11,NSRD2,"
"MYO9B"	"CELIAC4"	""	""	"MYO9B,CELIAC4,,"
"MYO10"	""	"KIAA0799"	""	"MYO10,,KIAA0799,"
"MYO15B"	""	"MYO15BP"	""	"MYO15B,,MYO15BP,"
"MYO18A"	""	"KIAA0216, MysPDZ"	""	"MYO18A,,KIAA0216, MysPDZ,"
"MYOC"	"GLC1A"	"TIGR, JOAG1"	""	"MYOC,GLC1A,TIGR, JOAG1,"
"MYOG"	"MYF4"	"bHLHc3"	""	"MYOG,MYF4,bHLHc3,"
"MYOM1"	""	""	""	"MYOM1,,,"
"MYOM2"	""	""	""	"MYOM2,,,"
"MYT1"	"PLPB1"	"MTF1, MYTI, ZC2HC4A, NZF2, ZC2H2C1"	""	"MYT1,PLPB1,MTF1, MYTI, ZC2HC4A, NZF2, ZC2H2C1,"
"NAA40"	"NAT11"	"FLJ13848"	""	"NAA40,NAT11,FLJ13848,"
"NAALADL1"	""	"HILAP"	""	"NAALADL1,,HILAP,"
"NAALADL2"	""	""	""	"NAALADL2,,,"
"NAALADL2-AS3"	""	""	"NAALADL2-AS3"	"NAALADL2-AS3,,,NAALADL2-AS3"
"NABP2"	"OBFC2B"	"MGC2731, SSB1, hSSB1, SOSS-B1"	""	"NABP2,OBFC2B,MGC2731, SSB1, hSSB1, SOSS-B1,"
"NACA4P"	"NACAP1"	"FKSG17"	""	"NACA4P,NACAP1,FKSG17,"
"NACC1"	"BTBD14B"	"NAC1, NAC-1, BEND8, BTBD30"	""	"NACC1,BTBD14B,NAC1, NAC-1, BEND8, BTBD30,"
"NADK2"	"C5orf33, NADKD1"	"FLJ30596, MNADK"	""	"NADK2,C5orf33, NADKD1,FLJ30596, MNADK,"
"NANOS3"	""	"NANOS1L, NOS3, ZC2HC12C"	""	"NANOS3,,NANOS1L, NOS3, ZC2HC12C,"
"NAPRT"	"NAPRT1"	"PP3856"	""	"NAPRT,NAPRT1,PP3856,"
"NAT1"	"AAC1"	""	""	"NAT1,AAC1,,"
"NAT2"	"AAC2"	""	""	"NAT2,AAC2,,"
"NAT8L"	""	"FLJ37478, Hcml3, Shati"	""	"NAT8L,,FLJ37478, Hcml3, Shati,"
"NAV1"	""	"FLJ12560, FLJ14203, KIAA1151, MGC14961, POMFIL3, steerin-1, DKFZp781D0314"	""	"NAV1,,FLJ12560, FLJ14203, KIAA1151, MGC14961, POMFIL3, steerin-1, DKFZp781D0314,"
"NAXD"	"CARKD"	"LP3298, FLJ10769"	""	"NAXD,CARKD,LP3298, FLJ10769,"
"NAXE"	"APOA1BP"	"AIBP, MGC119143, MGC119144, MGC119145, YJEFN1"	""	"NAXE,APOA1BP,AIBP, MGC119143, MGC119144, MGC119145, YJEFN1,"
"NBAS"	""	"NAG"	""	"NBAS,,NAG,"
"NBEAP1"	"BCL8"	"BCL8A"	""	"NBEAP1,BCL8,BCL8A,"
"NBN"	"NBS, NBS1"	"ATV, AT-V2, AT-V1"	""	"NBN,NBS, NBS1,ATV, AT-V2, AT-V1,"
"NBPF8"	"NBPF8P"	""	""	"NBPF8,NBPF8P,,"
"NBPF9"	""	"AE01"	""	"NBPF9,,AE01,"
"NBPF10"	""	"AG1"	""	"NBPF10,,AG1,"
"NBPF11"	"NBPF24"	""	""	"NBPF11,NBPF24,,"
"NBPF12"	"KIAA1245"	"COAS1"	""	"NBPF12,KIAA1245,COAS1,"
"NBPF13P"	""	""	""	"NBPF13P,,,"
"NBPF14"	""	"DJ328E19.C1.1"	""	"NBPF14,,DJ328E19.C1.1,"
"NBPF15"	"NBPF16"	"MGC8902"	""	"NBPF15,NBPF16,MGC8902,"
"NBPF17P"	"NBPF23P, NBPF23"	""	""	"NBPF17P,NBPF23P, NBPF23,,"
"NBPF18P"	""	""	""	"NBPF18P,,,"
"NBPF20"	""	""	""	"NBPF20,,,"
"NBPF25P"	""	""	""	"NBPF25P,,,"
"NCALD"	""	""	""	"NCALD,,,"
"NCAN"	"CSPG3"	""	""	"NCAN,CSPG3,,"
"NCAPD2"	""	"CNAP1, hCAP-D2, CAP-D2, KIAA0159"	""	"NCAPD2,,CNAP1, hCAP-D2, CAP-D2, KIAA0159,"
"NCAPH2"	""	"384D8-2, hCAP-H2, CAP-H2"	""	"NCAPH2,,384D8-2, hCAP-H2, CAP-H2,"
"NCBP2"	""	"NIP1, CBP20, Cbc2"	""	"NCBP2,,NIP1, CBP20, Cbc2,"
"NCBP2AS2"	"NCBP2-AS2"	"HIAR, KRASIM"	""	"NCBP2AS2,NCBP2-AS2,HIAR, KRASIM,"
"NCCRP1"	""	"LOC342897, NCCRP-1, FBXO50"	""	"NCCRP1,,LOC342897, NCCRP-1, FBXO50,"
"NCEH1"	"AADACL1"	"KIAA1363, NCEH"	""	"NCEH1,AADACL1,KIAA1363, NCEH,"
"NCF2"	""	"p67phox, NOXA2"	""	"NCF2,,p67phox, NOXA2,"
"NCK1"	"NCK"	"NCKalpha"	""	"NCK1,NCK,NCKalpha,"
"NCOA2"	""	"TIF2, GRIP1, NCoA-2, KAT13C, bHLHe75"	""	"NCOA2,,TIF2, GRIP1, NCoA-2, KAT13C, bHLHe75,"
"NCOA3"	""	"RAC3, AIB1, ACTR, p/CIP, TRAM-1, CAGH16, TNRC16, KAT13B, bHLHe42, SRC-3, SRC3"	""	"NCOA3,,RAC3, AIB1, ACTR, p/CIP, TRAM-1, CAGH16, TNRC16, KAT13B, bHLHe42, SRC-3, SRC3,"
"NCOA5"	""	"bA465L10.6, CIA"	""	"NCOA5,,bA465L10.6, CIA,"
"NCSTN"	""	"KIAA0253, APH2"	""	"NCSTN,,KIAA0253, APH2,"
"NDC80"	"KNTC2"	"HEC, HEC1, hsNDC80, TID3"	""	"NDC80,KNTC2,HEC, HEC1, hsNDC80, TID3,"
"NDN"	""	"HsT16328, PWCR"	""	"NDN,,HsT16328, PWCR,"
"NDRG1"	"CAP43"	"DRG1, RTP, TDD5, NDR1"	""	"NDRG1,CAP43,DRG1, RTP, TDD5, NDR1,"
"NDRG3"	""	""	""	"NDRG3,,,"
"NDUFA13"	""	"CGI-39, CDA016, GRIM-19, GRIM19, B16.6"	""	"NDUFA13,,CGI-39, CDA016, GRIM-19, GRIM19, B16.6,"
"NDUFAF6"	"C8orf38"	"MGC40214"	""	"NDUFAF6,C8orf38,MGC40214,"
"NDUFB5"	""	"SGDH, CI-SGDH, MGC12314"	""	"NDUFB5,,SGDH, CI-SGDH, MGC12314,"
"NDUFB7"	""	"B18, CI-B18, MGC2480"	""	"NDUFB7,,B18, CI-B18, MGC2480,"
"NDUFB9"	""	"B22, UQOR22, LYRM3"	""	"NDUFB9,,B22, UQOR22, LYRM3,"
"NDUFB11"	""	"ESSS, NP17.3, Np15"	""	"NDUFB11,,ESSS, NP17.3, Np15,"
"NDUFS2"	""	"CI-49"	""	"NDUFS2,,CI-49,"
"NDUFS5"	""	"CI-15k"	""	"NDUFS5,,CI-15k,"
"NDUFS6"	""	"CI-13kA"	""	"NDUFS6,,CI-13kA,"
